"List of registered views"|"B"|"C"
"View:T_Hearing_JudicialofficerMultiView "|" Route:/t_hearing_judicialofficermultiview "|" Perms:['can_list']"
"View:T_Hearing_LawfirmMultiView "|" Route:/t_hearing_lawfirmmultiview "|" Perms:['can_list']"
"View:T_Hearing_Lawfirm_MultiView "|" Route:/t_hearing_lawfirm_multiview "|" Perms:['can_list']"
"View:T_Instancecrime_IssueMultiView "|" Route:/t_instancecrime_issuemultiview "|" Perms:['can_list']"
"View:T_Investigationdiary_PartyMultiView "|" Route:/t_investigationdiary_partymultiview "|" Perms:['can_list']"
"View:T_Investigationdiary_PoliceofficerMultiView "|" Route:/t_investigationdiary_policeofficermultiview "|" Perms:['can_list']"
"View:T_Investigationdiary_VehicleMultiView "|" Route:/t_investigationdiary_vehiclemultiview "|" Perms:['can_list']"
"View:T_Issue_LawyerMultiView "|" Route:/t_issue_lawyermultiview "|" Perms:['can_list']"
"View:T_Issue_LegalreferenceMultiView "|" Route:/t_issue_legalreferencemultiview "|" Perms:['can_list']"
"View:T_Issue_Legalreference_MultiView "|" Route:/t_issue_legalreference_multiview "|" Perms:['can_list']"
"View:T_Issue_PartyMultiView "|" Route:/t_issue_partymultiview "|" Perms:['can_list']"
"View:T_Issue_Party_MultiView "|" Route:/t_issue_party_multiview "|" Perms:['can_list']"
"View:T_Lawyer_PartyMultiView "|" Route:/t_lawyer_partymultiview "|" Perms:['can_list']"
"View:T_Party_SettlementMultiView "|" Route:/t_party_settlementmultiview "|" Perms:['can_list']"
"View:T_Policeofficer_PolicestationMultiView "|" Route:/t_policeofficer_policestationmultiview "|" Perms:['can_list']"
"View:T_Town_WardMultiView "|" Route:/t_town_wardmultiview "|" Perms:['can_list']"
"View:AccounttypeChartView "|" Route:/accounttypechartview "|" Perms:['can_chart']"
"View:BillChartView "|" Route:/billchartview "|" Perms:['can_chart']"
"View:BilldetailChartView "|" Route:/billdetailchartview "|" Perms:['can_chart']"
"View:BiodataChartView "|" Route:/biodatachartview "|" Perms:['can_chart']"
"View:CasecategoryChartView "|" Route:/casecategorychartview "|" Perms:['can_chart']"
"View:CasechecklistChartView "|" Route:/casechecklistchartview "|" Perms:['can_chart']"
"View:CaselinktypeChartView "|" Route:/caselinktypechartview "|" Perms:['can_chart']"
"View:CelltypeChartView "|" Route:/celltypechartview "|" Perms:['can_chart']"
"View:CommitalChartView "|" Route:/commitalchartview "|" Perms:['can_chart']"
"View:CommitaltypeChartView "|" Route:/commitaltypechartview "|" Perms:['can_chart']"
"View:ComplaintChartView "|" Route:/complaintchartview "|" Perms:['can_chart']"
"View:ComplaintcategoryChartView "|" Route:/complaintcategorychartview "|" Perms:['can_chart']"
"View:ComplaintroleChartView "|" Route:/complaintrolechartview "|" Perms:['can_chart']"
"View:CountryChartView "|" Route:/countrychartview "|" Perms:['can_chart']"
"View:CountyChartView "|" Route:/countychartview "|" Perms:['can_chart']"
